time,OS,RL
43.7038,21.0951,20.9035
43.9042,21.1055,20.9058
44.1045,21.1157,20.9071
44.3048,21.1291,20.9053
44.5052,21.1412,20.905
44.7055,21.1456,20.9004
44.9059,21.1433,20.8928
45.1062,21.1383,20.8849
45.3065,21.1354,20.8708
45.5068,21.1345,20.8552
45.7072,21.1352,20.8385
45.9075,21.137,20.8256
46.1078,21.1336,20.8181
46.3082,21.1252,20.8116
46.5085,21.1151,20.8098
46.7089,21.1043,20.8134
46.9092,21.0923,20.8186
47.1095,21.0789,20.8292
47.3098,21.0693,20.8428
47.5103,21.0625,20.863
47.7106,21.0592,20.8814
47.911,21.0545,20.8973
48.1113,21.0572,20.9187
48.3117,21.0651,20.9338
48.512,21.0757,20.9472
48.7124,21.0894,20.9623
48.9127,21.1095,20.9733
49.1131,21.1234,20.9857
49.3135,21.1321,20.9942
49.5138,21.14,20.9978
49.7142,21.1456,20.9891
49.9145,21.1474,20.9728
50.1149,21.146,20.9558
50.3152,21.1411,20.9391
50.5156,21.1314,20.925
50.7159,21.1228,20.9114
50.9163,21.1103,20.8973
51.1166,21.0949,20.8872
51.317,21.0869,20.8818
51.5173,21.0771,20.8747
51.7177,21.0656,20.8699
51.9181,21.0548,20.8637
52.1184,21.0416,20.856
52.3187,21.0329,20.8523
52.5191,21.0254,20.8529
52.7194,21.0226,20.8539
52.9198,21.0211,20.8569
53.1201,21.0255,20.866
53.3204,21.0341,20.8752
53.5208,21.0425,20.8858
53.7211,21.0519,20.8958
53.9215,21.0611,20.9044
54.1218,21.0675,20.9115
54.3221,21.0737,20.9178
54.5225,21.0801,20.921
54.7228,21.0865,20.9278
54.9232,21.0949,20.9395
55.1236,21.1045,20.9466
55.3239,21.117,20.9548
55.5243,21.1286,20.9702
55.7246,21.1395,20.9827
55.925,21.1439,20.9852
56.1253,21.1424,20.9882
56.3257,21.1374,20.993
56.526,21.1273,20.9871
56.7264,21.1113,20.9757
56.9267,21.0919,20.9651
57.127,21.0739,20.9556
57.3274,21.0569,20.9488
57.5277,21.0431,20.9286
57.7281,21.0289,20.9143
57.9284,21.0176,20.9008
58.1288,21.0119,20.8877
58.3291,21.0124,20.8777
58.5295,21.0174,20.8696
58.7298,21.022,20.861
58.9301,21.0329,20.8558
59.1305,21.0434,20.8491
59.3308,21.0565,20.8552
59.5312,21.0701,20.8658
59.7315,21.0822,20.879
59.9319,21.0936,20.8941
60.1323,21.1026,20.9126
60.3327,21.1151,20.9298
60.5331,21.1246,20.9461
60.7335,21.1294,20.9562
60.9338,21.1334,20.9629
61.1342,21.1334,20.9714
61.3345,21.1295,20.9792
61.5348,21.1252,20.9868
61.7352,21.1191,20.9914
61.9355,21.1107,20.9904
62.1358,21.0995,20.9844
62.3362,21.0889,20.9777
62.5365,21.078,20.9699
62.7368,21.071,20.9617
62.9372,21.0608,20.951
63.1376,21.0515,20.9402
63.3379,21.043,20.9326
63.5383,21.0348,20.9258
63.7387,21.0301,20.9189
63.939,21.0252,20.9141
64.1394,21.0234,20.9107
64.3397,21.0295,20.9057
64.5401,21.0386,20.9032
64.7404,21.0503,20.9051
64.9408,21.0616,20.9087
65.1411,21.0724,20.9032
65.3415,21.0823,20.899
65.5418,21.0944,20.8972
65.7421,21.1049,20.8988
65.9425,21.115,20.902
66.1428,21.1231,20.9049
66.3432,21.1329,20.9047
66.5435,21.1431,20.9089
66.7438,21.1497,20.9148
