time,OS,RL
43.7084,13.5233,13.4796
43.9087,13.5327,13.4775
44.109,13.5385,13.4733
44.3093,13.5476,13.4698
44.5096,13.5528,13.4588
44.7099,13.5487,13.4526
44.9103,13.5403,13.4451
45.1106,13.5277,13.4398
45.3109,13.5184,13.4365
45.5113,13.5114,13.4325
45.7116,13.5065,13.4296
45.9119,13.5014,13.4254
46.1123,13.4944,13.4208
46.3126,13.4814,13.4183
46.513,13.4648,13.4172
46.7134,13.4453,13.418
46.9137,13.4268,13.4202
47.1141,13.4055,13.4242
47.3144,13.3884,13.4299
47.5147,13.3762,13.4374
47.715,13.3714,13.4467
47.9153,13.3699,13.4566
48.1156,13.3731,13.4681
48.316,13.3793,13.4806
48.5163,13.3845,13.4902
48.7166,13.3935,13.5018
48.9169,13.4068,13.5111
49.1172,13.4199,13.5189
49.3176,13.4234,13.5269
49.5179,13.4269,13.5341
49.7182,13.4307,13.5415
49.9186,13.4349,13.5439
50.1189,13.4346,13.5441
50.3192,13.4358,13.5431
50.5196,13.4364,13.5391
50.7198,13.4367,13.5332
50.9202,13.4375,13.5281
51.1205,13.4382,13.5229
51.3208,13.4342,13.5152
51.5211,13.4305,13.5064
51.7214,13.4257,13.4977
51.9217,13.4217,13.492
52.122,13.4153,13.4837
52.3224,13.4093,13.4742
52.5227,13.4022,13.4622
52.723,13.3973,13.4487
52.9233,13.3913,13.4348
53.1237,13.3844,13.4219
53.324,13.382,13.4087
53.5244,13.3799,13.3956
53.7247,13.3793,13.3828
53.925,13.3785,13.3709
54.1253,13.3832,13.3612
54.3256,13.3904,13.355
54.526,13.3929,13.35
54.7263,13.398,13.3534
54.9266,13.4033,13.3542
55.1269,13.4145,13.3555
55.3272,13.4276,13.3614
55.5565,13.439,13.371
55.7568,13.4473,13.3816
55.9571,13.4534,13.393
56.1574,13.4561,13.4048
56.3577,13.4609,13.4175
56.5581,13.4642,13.4319
56.7584,13.4631,13.4423
56.9587,13.4617,13.4546
57.159,13.4536,13.4656
57.3593,13.4432,13.4735
57.5597,13.4306,13.486
57.76,13.4182,13.4953
57.9603,13.4054,13.5054
58.1606,13.3842,13.5167
58.361,13.349,13.5209
58.5613,13.3011,13.507
58.7616,13.2538,13.478
58.9619,13.2044,13.4464
59.1622,13.1516,13.4135
59.3626,13.1022,13.3805
59.5629,13.0573,13.3495
59.7632,13.0126,13.318
59.9635,12.9658,13.2841
60.1638,12.9202,13.2482
60.3641,12.8767,13.216
60.5644,12.8352,13.1817
60.7648,12.7961,13.152
60.9651,12.756,13.1133
61.1654,12.7175,13.0793
61.3657,12.6806,13.039
61.566,12.6437,13.0085
61.7663,12.6093,12.9779
61.9666,12.5752,12.9444
62.1669,12.5393,12.9091
62.3672,12.5049,12.8753
62.5676,12.4739,12.8418
62.7678,12.4407,12.8092
62.9681,12.4008,12.7749
63.1684,12.3616,12.7444
63.3688,12.3234,12.7155
63.5691,12.2838,12.6875
63.7694,12.2486,12.6583
63.9697,12.2112,12.6253
64.17,12.169,12.6035
64.4519,12.1309,12.5809
64.6523,12.0944,12.5535
64.8526,12.0599,12.5291
65.0528,12.0243,12.5039
65.2531,11.9849,12.4831
65.4534,11.9403,12.4617
65.6537,11.8964,12.4404
65.854,11.8552,12.4192
66.0543,11.8146,12.397
66.2546,11.7665,12.3709
66.4549,11.7227,12.3485
66.6552,11.6828,12.3256
66.8555,11.6497,12.2986
67.0558,11.6103,12.2785
67.2561,11.5756,12.2571
67.4564,11.5437,12.2331
67.6568,11.5141,12.2143
67.8571,11.4835,12.1938
68.0574,11.456,12.1752
68.2577,11.4242,12.1557
68.458,11.3884,12.1369
68.6584,11.3655,12.117
68.8587,11.3426,12.0977
69.059,11.32,12.0782
69.2594,11.2938,12.0581
69.4597,11.2666,12.0382
69.66,11.2444,12.0187
69.8603,11.2199,11.9932
70.0606,11.1867,11.9728
70.2609,11.1555,11.9511
70.4612,11.129,11.9308
70.6615,11.1013,11.9162
70.8618,11.0743,11.9012
71.0621,11.051,11.8883
71.2624,11.029,11.8755
71.4627,11.0069,11.8636
71.663,10.9871,11.8511
71.8633,10.9694,11.8391
72.0636,10.9474,11.8273
72.2639,10.9265,11.8083
72.4643,10.9012,11.7912
72.6646,10.8774,11.778
72.8648,10.8546,11.7644
73.0651,10.831,11.7534
73.2654,10.807,11.7382
73.4657,10.7822,11.7232
73.666,10.7574,11.7023
73.8663,10.7354,11.6868
74.0666,10.7144,11.6722
74.2669,10.6931,11.6523
74.4672,10.6734,11.633
74.6676,10.6534,11.6161
74.8678,10.6351,11.5925
75.0681,10.6107,11.5745
75.2684,10.5834,11.5565
75.4687,10.5543,11.5388
75.669,10.5256,11.5212
75.8693,10.4986,11.4994
76.0696,10.4703,11.4773
76.27,10.444,11.4553
76.4703,10.4195,11.4337
76.6706,10.3953,11.4154
76.8708,10.3724,11.396
77.0711,10.3522,11.3763
77.2714,10.3337,11.3568
77.4717,10.3177,11.3395
77.6721,10.3029,11.3237
77.8724,10.2886,11.3082
78.0728,10.2737,11.2936
78.2731,10.2605,11.28
78.4734,10.2378,11.265
78.6737,10.2189,11.2524
78.874,10.2031,11.2405
79.0743,10.1888,11.2297
79.2746,10.1755,11.2182
79.4749,10.1639,11.2055
79.6752,10.1511,11.1944
79.8755,10.1369,11.1828
80.0758,10.1228,11.1708
80.2762,10.1096,11.1604
80.527,10.0991,11.1484
80.7273,10.0862,11.1363
80.9276,10.0763,11.1189
81.1279,10.0667,11.1115
81.3282,10.0554,11.0954
81.5285,10.0442,11.0884
81.7288,10.0356,11.0801
81.9291,10.0125,11.0771
82.1294,9.9977,11.0706
82.3297,9.98111,11.0623
82.53,9.96421,11.0546
82.7304,9.94552,11.044
82.9306,9.92524,11.0353
83.1309,9.90414,11.02
83.3313,9.88534,11.0121
83.5315,9.86467,11.0062
83.7318,9.84623,10.9995
83.9321,9.8219,10.9909
84.1324,9.80386,10.9809
84.3327,9.78421,10.9713
84.533,9.76561,10.9616
84.7333,9.74676,10.9535
84.9336,9.72759,10.9463
85.1339,9.70832,10.9359
85.3342,9.69125,10.9286
85.5345,9.67376,10.9191
85.7348,9.65937,10.9087
85.9351,9.63891,10.9002
86.1354,9.61976,10.8882
86.3357,9.59965,10.8782
86.536,9.58295,10.863
86.7363,9.56745,10.8565
86.9366,9.5524,10.8502
87.1369,9.53721,10.8417
87.3372,9.52373,10.8318
87.5375,9.50968,10.8215
87.7378,9.49467,10.8107
87.9381,9.48104,10.7978
88.1384,9.46839,10.7907
88.3387,9.45742,10.7828
88.539,9.4494,10.7744
88.7393,9.44397,10.7652
88.9396,9.43493,10.7428
89.14,9.418,10.7301
89.3403,9.40843,10.7228
89.5406,9.40199,10.709
89.7408,9.39752,10.6973
89.9411,9.39341,10.6913
90.1414,9.38966,10.6857
90.3417,9.38521,10.6806
90.542,9.38029,10.6767
90.7423,9.37452,10.6755
90.9426,9.36676,10.6755
91.1429,9.35924,10.6746
91.3432,9.34942,10.6654
91.5435,9.33992,10.6653
91.7438,9.3327,10.6588
91.9441,9.33022,10.6586
92.1444,9.3248,10.6585
92.3448,9.31879,10.6552
92.5451,9.31245,10.6518
92.7454,9.30391,10.6459
92.9457,9.29561,10.6397
93.146,9.27866,10.6322
93.3463,9.26776,10.619
93.5466,9.25535,10.6069
93.7469,9.24062,10.5994
93.9472,9.22812,10.5914
94.1475,9.21297,10.5838
94.3478,9.20134,10.5751
94.5551,9.19297,10.561
94.7554,9.18849,10.5533
94.9557,9.17544,10.5472
95.156,9.16674,10.542
95.3563,9.15692,10.5354
95.5566,9.15391,10.5274
95.7569,9.15036,10.5223
95.9572,9.14449,10.5185
96.1575,9.13897,10.5129
96.3578,9.12786,10.5104
96.5581,9.12333,10.5057
96.7584,9.1208,10.493
96.9587,9.11678,10.4951
97.159,9.11193,10.4948
97.3593,9.10591,10.4942
97.5597,9.10039,10.4954
97.76,9.09176,10.495
97.9602,9.08234,10.4888
98.1605,9.06995,10.4909
98.3608,9.05771,10.4926
98.5611,9.0482,10.4948
98.7614,9.03787,10.4942
98.9617,9.02789,10.4899
99.1621,9.01726,10.487
99.3624,9.00715,10.4885
99.5627,8.99505,10.4875
99.7631,8.97792,10.4847
99.9634,8.96488,10.485
100.164,8.95235,10.4885
100.364,8.93953,10.4908
100.564,8.9263,10.4899
100.765,8.91334,10.4891
100.965,8.90221,10.4912
101.165,8.89297,10.4929
101.365,8.88581,10.485
101.566,8.87855,10.4839
101.766,8.8714,10.4811
101.966,8.86594,10.4797
102.167,8.86336,10.4807
102.367,8.86059,10.4797
102.567,8.859,10.4793
102.768,8.85734,10.4782
102.968,8.8561,10.4765
103.168,8.84783,10.4745
103.368,8.84728,10.4722
103.569,8.84838,10.4702
103.769,8.85184,10.4662
103.969,8.85233,10.4584
104.17,8.85012,10.4542
104.37,8.84633,10.448
104.57,8.84426,10.4364
104.771,8.84855,10.4314
104.971,8.83928,10.4244
105.171,8.83533,10.4149
105.371,8.82898,10.4085
105.572,8.82327,10.4033
105.772,8.81646,10.3928
105.973,8.80878,10.3868
106.173,8.80377,10.3831
106.373,8.79994,10.376
106.573,8.79756,10.3724
106.774,8.79288,10.3688
106.974,8.78948,10.3633
107.174,8.78595,10.3576
107.375,8.77724,10.3511
107.575,8.7646,10.3472
107.775,8.74547,10.3403
107.976,8.73158,10.3345
108.176,8.71666,10.3301
108.376,8.70244,10.3237
108.577,8.6868,10.322
108.777,8.67185,10.3178
108.977,8.65797,10.3147
109.178,8.6441,10.3123
109.378,8.62923,10.3103
109.578,8.61512,10.3087
109.778,8.60183,10.3085
109.979,8.58974,10.3062
110.179,8.57898,10.2995
110.379,8.56842,10.2975
110.58,8.55814,10.2969
110.78,8.54865,10.2942
110.98,8.53794,10.2941
111.181,8.52721,10.2913
111.381,8.51759,10.2895
111.581,8.50959,10.2877
111.781,8.50172,10.2852
111.982,8.49514,10.2827
112.182,8.48829,10.2795
112.382,8.48143,10.277
112.583,8.4748,10.2754
112.783,8.4676,10.2717
112.983,8.45964,10.2722
113.184,8.45097,10.2731
113.384,8.44103,10.2681
113.584,8.43111,10.2693
113.784,8.42116,10.2684
113.985,8.41513,10.2689
114.185,8.40815,10.2694
114.385,8.40079,10.2621
114.586,8.38229,10.2605
114.786,8.36852,10.2568
114.986,8.36036,10.253
115.187,8.35195,10.2489
115.387,8.34531,10.2455
115.587,8.33938,10.2398
115.787,8.33288,10.2364
115.988,8.32411,10.23
116.188,8.32178,10.2252
116.388,8.32126,10.2098
116.589,8.31989,10.2073
116.789,8.32006,10.2012
116.989,8.32306,10.1941
117.19,8.32684,10.1865
117.39,8.33124,10.1815
117.59,8.33523,10.1737
117.79,8.3387,10.1707
117.991,8.33965,10.1624
118.191,8.34262,10.1565
118.391,8.34588,10.1518
118.592,8.34879,10.1472
118.792,8.34995,10.1427
118.992,8.35036,10.1368
119.193,8.35316,10.1273
119.393,8.35221,10.1282
119.593,8.34129,10.1297
119.793,8.32928,10.1313
119.994,8.31833,10.1337
120.194,8.30742,10.1366
120.394,8.29701,10.1397
120.595,8.28785,10.1443
120.795,8.27926,10.1457
120.995,8.27277,10.1495
121.196,8.26763,10.152
121.396,8.26637,10.1562
121.596,8.26643,10.1603
121.796,8.26853,10.1656
121.997,8.27122,10.169
122.197,8.27215,10.1644
122.397,8.27292,10.1665
122.598,8.27455,10.1674
122.798,8.27613,10.1686
122.998,8.27545,10.1705
123.199,8.27,10.1705
123.399,8.26431,10.1716
123.599,8.25734,10.1691
123.8,8.25046,10.1679
124,8.24211,10.1628
124.2,8.23764,10.1587
124.4,8.23429,10.157
124.601,8.22942,10.1542
124.801,8.22532,10.1512
125.001,8.22112,10.1454
125.202,8.22218,10.1327
125.402,8.22108,10.1285
125.603,8.22487,10.1221
125.804,8.22798,10.1162
126.004,8.2294,10.1115
126.205,8.22883,10.1076
126.405,8.22794,10.1031
126.605,8.22729,10.101
126.805,8.22558,10.1001
127.006,8.21937,10.0996
127.206,8.21281,10.1019
127.406,8.20852,10.1043
127.607,8.20933,10.0996
127.807,8.20886,10.1016
128.007,8.20463,10.106
128.208,8.20211,10.1112
128.408,8.1981,10.1165
128.608,8.19312,10.1221
128.808,8.18828,10.1252
129.009,8.18345,10.1297
129.209,8.17842,10.1339
129.409,8.17434,10.1391
129.61,8.17479,10.1446
129.81,8.17389,10.1499
130.01,8.17543,10.1536
130.211,8.17343,10.1573
130.411,8.16627,10.1601
130.611,8.16133,10.1632
130.811,8.155,10.1664
131.012,8.15015,10.1665
131.212,8.14572,10.1662
131.412,8.1424,10.166
131.613,8.13962,10.1613
131.813,8.13593,10.1568
132.013,8.13294,10.1526
132.214,8.13025,10.148
132.414,8.12725,10.144
132.614,8.11899,10.136
132.814,8.11034,10.1329
133.015,8.1024,10.1231
133.215,8.09426,10.1173
133.415,8.0869,10.1144
133.616,8.08088,10.1113
133.816,8.0757,10.1091
134.016,8.07424,10.1062
134.217,8.07354,10.0957
134.417,8.07319,10.0947
134.617,8.0723,10.0925
134.817,8.06965,10.0925
135.018,8.06612,10.093
135.218,8.05876,10.0936
135.418,8.04819,10.093
135.619,8.03942,10.0934
135.819,8.03234,10.0946
136.019,8.02604,10.0969
136.22,8.02087,10.0957
136.42,8.019,10.0977
136.62,8.01673,10.0991
136.82,8.0164,10.1019
137.021,8.01531,10.1037
137.221,8.01404,10.1061
137.421,8.01251,10.1043
137.622,8.01628,10.1049
137.822,8.02151,10.1077
138.022,8.0273,10.1088
138.222,8.03408,10.1092
138.423,8.04048,10.1089
138.623,8.04613,10.1106
138.823,8.05071,10.1087
139.024,8.05703,10.1121
139.224,8.07103,10.1095
139.424,8.08405,10.1119
139.625,8.09668,10.1137
139.825,8.10834,10.1151
140.025,8.11684,10.1144
140.226,8.12029,10.1155
140.426,8.12313,10.1177
140.626,8.12435,10.119
140.827,8.12645,10.1212
141.027,8.13187,10.1224
141.227,8.13353,10.1245
141.427,8.13464,10.1252
141.628,8.13399,10.1257
141.828,8.13126,10.1151
142.028,8.12529,10.1118
142.229,8.11987,10.109
142.429,8.11232,10.1035
142.629,8.10462,10.0985
142.83,8.09622,10.0945
143.03,8.0943,10.0905
143.23,8.09207,10.0861
143.43,8.08939,10.0832
143.631,8.08495,10.0805
143.831,8.07874,10.0792
144.031,8.07018,10.0784
144.232,8.06122,10.0793
144.432,8.052,10.0801
144.632,8.04126,10.081
144.833,8.0296,10.0779
145.033,8.01845,10.0792
145.233,8.00734,10.0815
145.433,7.99927,10.0873
145.634,7.9945,10.0926
145.834,7.98896,10.0983
146.034,7.98431,10.1037
146.235,7.98142,10.1058
146.435,7.97583,10.1103
146.635,7.9669,10.1153
146.836,7.95976,10.121
147.036,7.95417,10.125
147.236,7.9508,10.1282
147.437,7.9492,10.1258
147.637,7.95248,10.1289
147.837,7.95598,10.1312
148.038,7.96049,10.133
148.238,7.96518,10.1322
148.438,7.97435,10.1336
148.639,7.9835,10.1336
148.839,7.99288,10.1323
149.039,8.00193,10.1298
149.239,8.01034,10.1301
149.44,8.01882,10.1292
149.64,8.02727,10.1154
149.84,8.03339,10.1143
150.041,8.03296,10.1137
150.241,8.03142,10.1134
150.441,8.03015,10.1129
150.642,8.03039,10.1106
150.842,8.03052,10.1058
151.042,8.0306,10.0923
151.242,8.03023,10.0904
151.443,8.0297,10.0878
151.643,8.03102,10.085
151.843,8.02807,10.0793
152.044,8.02172,10.0749
152.244,8.01871,10.0625
152.444,8.01607,10.0488
152.645,8.01343,10.0443
152.845,8.01021,10.0428
153.045,8.00639,10.0441
153.245,8.0018,10.0428
153.446,7.99747,10.0446
153.646,7.99314,10.0476
153.846,7.98858,10.0511
154.047,7.98447,10.0536
154.247,7.98007,10.0597
154.447,7.9803,10.0657
154.648,7.97872,10.071
154.848,7.97741,10.0742
155.048,7.97586,10.0783
155.248,7.97351,10.0818
155.449,7.97081,10.0844
155.649,7.96955,10.0876
155.849,7.9681,10.089
156.05,7.96526,10.0909
156.25,7.96776,10.0973
156.45,7.96136,10.1024
156.651,7.95451,10.0996
156.851,7.94725,10.1091
157.051,7.94123,10.1128
157.251,7.94239,10.1155
157.452,7.94272,10.1228
157.652,7.94219,10.1282
157.852,7.94526,10.1329
158.053,7.94848,10.1359
158.253,7.95051,10.1425
158.453,7.95241,10.1472
158.654,7.95231,10.1519
158.854,7.95317,10.1545
159.054,7.9547,10.1549
159.254,7.95693,10.1555
159.455,7.95132,10.1546
159.655,7.94509,10.1529
159.855,7.94404,10.1446
160.056,7.94405,10.1397
160.256,7.93896,10.1356
160.456,7.93398,10.1302
160.657,7.93099,10.1248
160.857,7.93102,10.1132
161.057,7.93475,10.1068
161.258,7.94265,10.1014
161.458,7.95044,10.0967
161.658,7.95268,10.088
161.859,7.9553,10.0827
162.059,7.96043,10.0768
162.259,7.96441,10.0713
162.459,7.96782,10.0662
162.66,7.96849,10.0624
162.86,7.96727,10.0579
163.06,7.96561,10.05
163.261,7.95733,10.0459
163.461,7.94959,10.0453
163.661,7.9426,10.0436
163.862,7.93836,10.0334
164.062,7.93504,10.0307
164.262,7.93156,10.0172
164.462,7.92761,10.0166
164.663,7.92576,10.0161
164.863,7.92424,10.013
165.063,7.92271,10.0095
165.264,7.91654,10.0106
165.464,7.91294,10.011
165.664,7.91127,10.0144
165.865,7.90955,10.0184
166.065,7.90942,10.0232
166.265,7.90802,10.0191
166.465,7.90642,10.0256
166.666,7.90412,10.0329
166.866,7.9028,10.039
167.066,7.90492,10.0411
167.267,7.90558,10.0467
167.467,7.90459,10.0508
167.667,7.90147,10.0578
167.868,7.89883,10.0629
168.068,7.90001,10.0696
168.268,7.90262,10.0789
168.468,7.90427,10.0839
168.669,7.90676,10.0914
168.869,7.91023,10.0988
169.069,7.90967,10.1083
169.27,7.90921,10.1168
169.47,7.90987,10.1236
169.67,7.91194,10.1293
169.871,7.91355,10.136
170.071,7.91533,10.1426
170.271,7.91982,10.1468
170.471,7.92929,10.147
170.672,7.93808,10.1514
170.872,7.94623,10.1545
171.072,7.95466,10.1539
171.273,7.96147,10.1537
171.473,7.96676,10.1575
171.673,7.97066,10.16
171.874,7.97425,10.1613
172.074,7.98166,10.1563
172.274,7.98459,10.1569
172.474,7.9866,10.1586
172.675,7.98658,10.1616
172.875,7.98507,10.1649
173.075,7.98329,10.1655
173.276,7.98088,10.1663
173.476,7.97509,10.1686
173.676,7.96794,10.1691
173.877,7.96228,10.1697
174.077,7.96045,10.1706
174.277,7.95809,10.1625
174.477,7.95795,10.163
174.678,7.95719,10.1632
174.878,7.95806,10.161
175.078,7.96227,10.1541
175.279,7.97028,10.1508
175.479,7.97791,10.1456
175.679,7.98696,10.1398
175.88,7.99497,10.1334
176.08,8.00385,10.1266
176.28,8.01508,10.1217
176.48,8.02173,10.1167
176.681,8.02817,10.1127
176.881,8.03445,10.1055
177.081,8.03931,10.1023
177.282,8.04414,10.1028
177.482,8.04786,10.104
177.682,8.05131,10.1047
177.883,8.05367,10.1083
178.083,8.05496,10.1134
178.283,8.05599,10.1183
178.484,8.0558,10.1223
178.684,8.05639,10.1288
178.884,8.0572,10.1388
179.084,8.05697,10.1474
179.285,8.05766,10.1574
179.485,8.05778,10.1667
179.685,8.06018,10.1766
179.886,8.06151,10.1842
180.086,8.05887,10.189
180.286,8.05544,10.1958
180.487,8.051,10.201
180.687,8.05007,10.2088
180.887,8.05776,10.2155
181.087,8.07045,10.2198
181.288,8.08148,10.2226
181.488,8.08671,10.2277
181.688,8.09233,10.2318
181.889,8.09681,10.235
182.089,8.0974,10.2377
182.289,8.09084,10.2404
182.49,8.08334,10.2376
182.69,8.07885,10.2372
182.89,8.0746,10.2281
183.09,8.07074,10.2286
183.291,8.06627,10.2262
183.491,8.05977,10.2226
183.691,8.05461,10.2179
183.892,8.04858,10.215
184.092,8.04259,10.2125
184.292,8.04095,10.2084
184.493,8.04133,10.2053
184.693,8.04306,10.2033
184.893,8.04597,10.2003
185.094,8.04573,10.1986
185.294,8.04707,10.1993
185.494,8.0522,10.1993
185.694,8.05599,10.1999
185.895,8.05986,10.2045
186.095,8.06446,10.2014
186.295,8.06943,10.2013
186.496,8.07457,10.2004
186.696,8.07725,10.2022
186.896,8.07583,10.2004
187.097,8.07742,10.1995
187.297,8.08268,10.197
187.497,8.08797,10.188
187.698,8.09317,10.185
187.898,8.09667,10.1802
188.098,8.09764,10.18
188.298,8.0938,10.18
188.499,8.09138,10.1821
188.699,8.0879,10.1858
188.899,8.08209,10.1884
189.1,8.07465,10.1937
189.3,8.0618,10.2009
189.5,8.05543,10.2085
189.701,8.05047,10.2146
189.901,8.04508,10.2197
190.101,8.03965,10.2274
190.301,8.03348,10.2359
190.502,8.02728,10.2425
190.702,8.02555,10.2483
190.902,8.02356,10.2561
191.103,8.02125,10.2598
191.303,8.01444,10.2573
191.503,8.00517,10.257
191.704,7.99614,10.2481
191.904,7.98799,10.2491
192.104,7.98192,10.2465
192.304,7.97645,10.2453
192.505,7.97174,10.2417
192.705,7.96534,10.2373
192.905,7.95956,10.2281
193.106,7.95596,10.2231
193.306,7.94944,10.2204
193.506,7.94394,10.2031
193.707,7.93946,10.2033
193.907,7.94141,10.2012
194.107,7.9445,10.1976
194.307,7.95135,10.1968
194.508,7.95753,10.1963
194.708,7.95748,10.1914
194.908,7.95356,10.1879
195.109,7.95257,10.1873
195.309,7.95106,10.1854
195.509,7.94962,10.1883
195.709,7.94906,10.1839
195.91,7.94974,10.1911
