time,OS,RL
0.201295,4.13097,4.23829
0.401699,6.34526,17.3401
0.602039,13.3101,16.2234
0.802379,12.4734,15.1636
1.00272,12.5741,14.5041
1.20305,12.1754,14.3633
1.40337,10.8178,14.1095
1.60369,9.52242,13.3822
1.80402,9.17373,12.7366
2.00433,8.93194,12.1769
2.20465,8.90713,11.2826
2.40496,8.93569,11.2043
2.60529,8.96672,11.0176
2.8056,8.93994,10.788
3.00591,8.86422,10.5287
3.20623,8.7588,10.28
3.40653,8.63709,9.95607
3.60684,8.57572,9.72835
3.80716,8.51454,9.51211
4.00746,8.3964,9.31169
4.20777,8.26428,9.11246
4.4081,8.16231,8.92364
4.60842,8.02833,8.74629
4.80873,7.89918,8.57308
5.00905,7.77534,8.43061
5.20937,7.67196,8.31337
5.40968,7.57833,8.21592
5.61012,7.48302,8.13279
5.81048,7.38109,8.0331
6.01081,7.29214,7.9722
6.21111,7.21081,7.92729
6.41143,7.13277,7.90511
6.61173,7.06491,7.89828
6.81205,7.00988,7.89466
7.01236,6.89019,7.89962
7.21266,6.82556,7.91642
7.41298,6.77812,7.95217
7.61329,6.74337,7.99187
7.8136,6.71367,8.03841
8.01404,6.64414,8.09356
8.21438,6.60197,8.15223
8.41469,6.58232,8.22139
8.61501,6.57399,8.31642
8.81533,6.57931,8.41031
9.01564,6.58981,8.52064
9.21594,6.60949,8.64152
9.41626,6.62896,8.76181
9.61658,6.6525,8.83853
9.8169,6.67586,8.9765
10.0172,6.71743,9.09527
10.2176,6.76023,9.19945
10.4179,6.78846,9.30365
10.6182,6.85071,9.40385
10.8185,6.91335,9.52092
11.0189,6.98455,9.61392
11.2192,7.06456,9.71342
11.4195,7.10606,9.80965
11.6198,7.1305,9.89641
11.8201,7.19215,9.96268
12.0204,7.27674,10.058
12.2207,7.36571,10.1499
12.4211,7.43779,10.1884
12.6214,7.51889,10.2527
12.8218,7.56206,10.2932
13.0222,7.61852,10.3436
13.2225,7.6928,10.3815
13.4229,7.76863,10.4148
13.6232,7.83928,10.4369
13.8459,7.89716,10.4339
14.0462,7.95323,10.4551
14.2465,8.00932,10.4498
14.4469,8.06543,10.4144
14.6472,8.11867,10.3961
14.8475,8.16983,10.3391
15.0478,8.22154,10.3098
15.2482,8.26098,10.2607
15.4486,8.29529,10.2047
15.6489,8.3254,10.1441
15.8492,8.33921,10.0793
16.0495,8.33122,10.0046
16.2498,8.3298,9.92961
16.4501,8.32825,9.85635
16.6504,8.3444,9.78855
16.8507,8.35641,9.72061
17.051,8.37036,9.65119
17.2514,8.37944,9.58769
17.4518,8.38454,9.52826
17.6521,8.39278,9.47341
17.8525,8.40402,9.41967
18.0528,8.41726,9.37665
18.2531,8.42427,9.3345
18.4534,8.42325,9.28979
18.6537,8.41479,9.25543
18.854,8.39769,9.22428
19.0543,8.37962,9.20043
19.2547,8.34458,9.18257
19.455,8.31294,9.16981
19.6553,8.28799,9.16613
19.8556,8.26454,9.17358
20.0561,8.24068,9.17628
20.2564,8.22183,9.18896
20.4568,8.20717,9.20512
20.6571,8.18014,9.22124
20.8574,8.1484,9.25429
21.0577,8.12388,9.27208
21.258,8.09916,9.30834
21.4584,8.07588,9.33957
21.6587,8.05548,9.37769
21.859,8.04236,9.42246
22.0593,8.02142,9.46518
22.2596,8.00902,9.50303
22.46,8.00138,9.53871
22.6604,7.97787,9.57211
22.8607,7.97359,9.61882
23.061,7.97619,9.66495
23.2613,7.98132,9.70159
23.4617,7.98828,9.74246
23.662,8.00418,9.77208
23.8623,8.0241,9.81311
24.0626,8.03541,9.85421
24.2629,8.05206,9.89625
24.4633,8.07022,9.93406
24.6636,8.09549,9.96804
24.8639,8.11998,9.9917
25.0642,8.14323,10.0163
25.2645,8.16127,10.0333
25.4649,8.17664,10.0417
25.6652,8.16847,10.049
25.8655,8.16069,10.0525
26.0658,8.16775,10.0492
26.2661,8.18287,10.043
26.4664,8.18825,10.0351
26.6668,8.20463,10.0215
26.8671,8.22299,10.001
27.0674,8.24258,9.9728
27.2677,8.25841,9.94556
27.468,8.28211,9.9193
27.6684,8.30558,9.89592
27.8687,8.32957,9.8619
28.069,8.34867,9.83662
28.2695,8.36435,9.81329
28.4698,8.37719,9.78794
28.6701,8.39101,9.76524
28.8704,8.40489,9.745
29.0708,8.40269,9.72108
29.2711,8.40342,9.70052
29.4714,8.40462,9.67719
29.6717,8.40676,9.65567
29.872,8.40583,9.63382
30.0723,8.40629,9.61257
30.2726,8.40573,9.59692
30.4729,8.40412,9.58114
30.6732,8.40168,9.56476
30.8736,8.4008,9.55014
31.0739,8.40076,9.51905
31.2742,8.39538,9.51571
31.4745,8.39603,9.50835
31.6748,8.3929,9.50461
31.8751,8.37362,9.50331
32.0754,8.36562,9.50379
32.2757,8.35549,9.50465
32.4761,8.34686,9.50333
32.6765,8.34382,9.50973
32.8768,8.34451,9.51654
33.0771,8.33529,9.52213
33.2774,8.3203,9.53376
33.4777,8.30426,9.54096
33.678,8.28884,9.55428
33.8783,8.27666,9.56633
34.0787,8.26767,9.58254
34.279,8.26131,9.60159
34.4793,8.25365,9.62071
34.6796,8.24845,9.63271
34.8799,8.2473,9.64816
35.0802,8.24837,9.66912
35.2805,8.24516,9.69376
35.4808,8.24522,9.71692
35.6811,8.251,9.73535
35.8814,8.25377,9.75835
36.0817,8.25759,9.77746
36.282,8.26255,9.79154
36.4824,8.26738,9.80615
36.6827,8.27545,9.81452
36.883,8.28004,9.82012
37.0833,8.29013,9.82815
37.2837,8.29821,9.83191
37.4841,8.30791,9.82722
37.6844,8.31506,9.82582
37.9582,8.32342,9.81964
38.1585,8.33102,9.81889
38.3588,8.3194,9.81358
38.5591,8.31457,9.8064
38.7594,8.31313,9.79936
38.9597,8.31347,9.79358
39.16,8.30971,9.777
39.3603,8.29993,9.76746
39.5606,8.2912,9.75122
39.7608,8.28756,9.74514
39.9611,8.28121,9.73775
40.1614,8.27709,9.73357
40.3617,8.27357,9.72839
40.562,8.26839,9.72504
40.7623,8.26795,9.72101
40.9627,8.26252,9.71628
41.163,8.25442,9.71252
41.3633,8.25012,9.70459
41.5636,8.24701,9.70244
41.7639,8.24086,9.6987
41.9642,8.23385,9.69478
42.1645,8.22567,9.69076
42.3648,8.21891,9.68558
42.5651,8.2121,9.68119
42.7654,8.20351,9.67247
42.9657,8.19338,9.66863
43.166,8.1823,9.66766
43.3663,8.17583,9.66501
43.5769,8.17725,9.66455
43.7773,8.18049,9.66517
43.9776,8.18413,9.66317
44.1779,8.18931,9.661
44.3782,8.19548,9.65206
44.5785,8.20495,9.64976
44.7788,8.21488,9.65014
44.9791,8.22817,9.65214
45.1794,8.24228,9.65421
45.3797,8.25991,9.65518
45.5801,8.27553,9.64729
45.7804,8.29259,9.65205
45.9807,8.3112,9.65299
46.181,8.32816,9.65377
46.3813,8.35511,9.65428
46.5816,8.3712,9.65325
46.7819,8.38401,9.65361
46.9822,8.39252,9.65577
47.1825,8.39952,9.6521
47.3829,8.38807,9.65706
47.5832,8.3819,9.66113
47.7836,8.37457,9.66103
47.9839,8.36674,9.66201
48.1842,8.36158,9.66497
48.3845,8.35536,9.66784
48.5849,8.35388,9.67129
48.7852,8.35198,9.67721
48.9855,8.35618,9.68146
49.1858,8.35955,9.68706
49.3861,8.36308,9.69415
49.5864,8.3648,9.70183
49.7867,8.36396,9.70948
49.987,8.36151,9.71455
50.1873,8.36162,9.71794
50.3877,8.34913,9.72186
50.588,8.34991,9.72254
50.7883,8.34126,9.72355
50.9886,8.33424,9.72809
51.1889,8.32791,9.73081
51.3892,8.32531,9.73223
51.5896,8.32346,9.73443
51.7899,8.31628,9.73846
51.9902,8.31205,9.73872
52.1905,8.29875,9.73662
52.3908,8.28519,9.73589
52.5912,8.27405,9.72582
52.7915,8.26851,9.73107
52.9918,8.2585,9.72989
53.1922,8.26358,9.73026
53.3925,8.26423,9.73126
53.5928,8.27028,9.72901
53.7931,8.27557,9.72773
54.0303,8.28592,9.7224
54.2306,8.29267,9.71563
54.4309,8.2919,9.70668
54.6312,8.2899,9.69654
54.8315,8.29068,9.68763
55.0318,8.28771,9.67469
55.2321,8.28357,9.65787
55.4324,8.28131,9.64522
55.6327,8.27195,9.6315
55.833,8.26767,9.61746
56.0333,8.26539,9.6049
56.2336,8.26402,9.59254
56.434,8.26654,9.58112
56.6343,8.26951,9.56985
56.8346,8.27036,9.562
57.0349,8.27377,9.55298
57.2352,8.27669,9.53767
57.4355,8.28271,9.52878
57.6359,8.29032,9.52254
57.8362,8.29741,9.51931
58.0365,8.3015,9.51084
58.2368,8.30914,9.51137
58.4371,8.30404,9.5099
58.6374,8.30381,9.51114
58.8377,8.30487,9.51576
59.038,8.29849,9.51976
59.2384,8.29143,9.52331
59.4388,8.28957,9.53102
59.6391,8.2897,9.53912
59.8394,8.29249,9.53754
60.0398,8.29461,9.55142
60.2401,8.29852,9.56214
60.4404,8.30424,9.5727
60.6407,8.31121,9.58212
60.841,8.31839,9.58896
61.0413,8.32161,9.59985
61.2417,8.31833,9.61253
61.442,8.31618,9.62659
61.6423,8.29949,9.63981
61.8426,8.29419,9.65084
62.0429,8.2955,9.66192
62.2432,8.28483,9.67218
62.4435,8.27339,9.68014
62.6438,8.27382,9.68799
62.8441,8.27547,9.69417
63.0444,8.27454,9.69871
63.2447,8.2746,9.69899
63.4451,8.27669,9.70343
63.6454,8.27673,9.70617
63.8457,8.27871,9.70774
64.046,8.27775,9.7077
64.2463,8.27677,9.70784
64.4467,8.27589,9.70699
64.6471,8.27569,9.705
64.8474,8.27521,9.70183
65.0477,8.27032,9.6983
65.248,8.26523,9.69337
65.4483,8.264,9.68668
65.6486,8.26226,9.67998
65.8489,8.26075,9.67379
66.0492,8.25953,9.66689
66.2495,8.25847,9.65934
66.4499,8.26022,9.6507
66.6502,8.2578,9.64246
66.8505,8.25401,9.63314
67.0508,8.25646,9.61079
67.2511,8.25811,9.60646
67.4514,8.26123,9.59917
67.6517,8.26524,9.58794
67.852,8.26825,9.58179
68.0524,8.27426,9.57559
68.2527,8.27761,9.57009
68.453,8.27923,9.56418
68.6533,8.27433,9.56012
68.8536,8.26466,9.55894
69.0539,8.26108,9.55699
69.2542,8.26733,9.55457
69.4545,8.27615,9.55262
69.6548,8.28781,9.54967
69.8871,8.29999,9.54981
70.0874,8.29379,9.55053
70.2877,8.29881,9.55742
70.4881,8.30412,9.56124
70.6884,8.31217,9.56321
70.8887,8.31659,9.56603
71.089,8.32707,9.56929
71.2893,8.34099,9.5738
71.4896,8.34671,9.57819
71.69,8.35239,9.58199
71.8903,8.35598,9.58743
72.0906,8.34986,9.58943
72.291,8.3409,9.59389
72.4913,8.33883,9.60031
72.6916,8.34252,9.6044
72.892,8.34193,9.60462
73.0923,8.34146,9.60794
73.2926,8.34111,9.61027
73.4929,8.34038,9.61433
73.6932,8.33904,9.61712
73.8936,8.33658,9.62145
74.0939,8.33489,9.6248
74.2942,8.33236,9.62432
74.4945,8.3303,9.62631
74.6948,8.31812,9.62948
74.8951,8.31155,9.63033
75.0954,8.29476,9.63169
75.2957,8.2825,9.63397
75.4961,8.27993,9.63585
75.6964,8.28008,9.63617
75.8967,8.28131,9.63718
76.097,8.28259,9.63623
76.2973,8.28237,9.6371
76.4976,8.28582,9.63773
76.6979,8.2911,9.63678
76.8982,8.29627,9.63572
77.0985,8.29562,9.63382
77.2989,8.30149,9.62049
77.4992,8.30661,9.61638
77.6995,8.31243,9.61133
77.8998,8.31595,9.60751
78.1001,8.3217,9.60284
78.3004,8.32763,9.597
78.5007,8.33055,9.59137
78.7011,8.33657,9.58268
78.9014,8.34402,9.57057
79.1017,8.34721,9.56675
79.302,8.35019,9.56368
79.5023,8.35743,9.55952
79.7026,8.36408,9.5531
79.9029,8.37096,9.54439
80.1032,8.38285,9.5437
80.3036,8.39057,9.54322
80.5039,8.3977,9.54505
80.7042,8.40498,9.5442
80.9045,8.41451,9.5461
81.1048,8.42042,9.55063
81.3051,8.42778,9.55206
81.5054,8.43415,9.55456
81.7057,8.44132,9.55704
81.9061,8.44865,9.56001
82.1064,8.45417,9.5641
82.3067,8.45819,9.56693
82.507,8.46013,9.56983
82.7074,8.46338,9.5737
82.9077,8.46816,9.57193
83.108,8.47217,9.57326
83.3083,8.47458,9.5729
83.5086,8.47273,9.56783
83.7089,8.46874,9.56791
83.9092,8.46448,9.56773
84.1095,8.46013,9.56704
84.3099,8.45493,9.56574
84.5103,8.45319,9.56593
84.7106,8.45779,9.56759
84.9109,8.4604,9.56947
85.1112,8.4634,9.5713
85.3116,8.46671,9.56746
85.5119,8.46701,9.56748
85.7122,8.44912,9.56814
85.9125,8.44005,9.56888
86.1128,8.43303,9.5709
86.3131,8.42583,9.57208
86.5134,8.41515,9.57521
86.7137,8.40872,9.57534
86.914,8.40184,9.57867
87.1143,8.39764,9.58183
87.3147,8.39332,9.58189
87.515,8.3878,9.58096
87.7153,8.38338,9.57706
87.9156,8.38102,9.57882
88.1159,8.38132,9.58226
88.3162,8.38228,9.5836
88.5165,8.38587,9.5849
88.7168,8.39055,9.58621
88.9171,8.39669,9.58392
89.1174,8.40428,9.58186
89.3177,8.41157,9.58094
89.5181,8.41707,9.57836
89.7184,8.4221,9.57726
89.9187,8.41937,9.57637
90.119,8.40313,9.57038
90.3193,8.39687,9.56859
90.5196,8.39371,9.56835
90.7199,8.39086,9.56829
90.9202,8.38228,9.56892
91.1205,8.38129,9.56869
91.3208,8.38178,9.56784
91.5211,8.38146,9.56546
91.7214,8.37896,9.56488
91.9217,8.3704,9.56423
92.122,8.36343,9.56051
92.3224,8.3531,9.56086
92.5227,8.33728,9.55876
92.723,8.32317,9.56015
92.9233,8.30799,9.56123
93.1236,8.29449,9.56238
93.3239,8.28573,9.56299
93.5242,8.27537,9.56421
93.7245,8.26902,9.56655
93.9248,8.26266,9.56817
94.1251,8.2613,9.57018
94.3254,8.26231,9.5711
94.5257,8.2641,9.57049
94.726,8.26802,9.5711
94.9264,8.27661,9.57469
95.1267,8.28524,9.57597
95.327,8.29466,9.58019
95.5273,8.30578,9.58308
95.7276,8.30145,9.58382
95.9279,8.3,9.58321
96.1282,8.2996,9.58477
96.3285,8.3042,9.58755
96.5289,8.3088,9.59025
96.7292,8.31483,9.58868
96.9295,8.32143,9.58805
97.1298,8.32855,9.58752
97.3301,8.33613,9.58303
97.5304,8.33858,9.5845
97.7307,8.34434,9.5834
97.931,8.35091,9.58385
98.1313,8.35698,9.58526
98.3317,8.36123,9.58809
98.532,8.36486,9.59094
98.7323,8.37114,9.59355
98.9326,8.37831,9.59686
99.1329,8.38422,9.60011
99.3332,8.39182,9.60044
99.5335,8.39843,9.59858
99.7381,8.39837,9.60112
99.9384,8.40448,9.60325
100.139,8.40931,9.60631
100.339,8.41749,9.6106
100.539,8.42237,9.61447
100.74,8.42814,9.61351
100.94,8.43128,9.61401
101.14,8.43438,9.6142
101.341,8.43787,9.6144
101.541,8.43895,9.61389
101.741,8.4327,9.61516
101.942,8.42851,9.61743
102.142,8.4271,9.62009
102.342,8.41972,9.62126
102.543,8.41789,9.62378
102.743,8.41827,9.62592
102.943,8.41924,9.62772
103.144,8.42428,9.6269
103.344,8.42871,9.62947
103.544,8.43007,9.63219
103.745,8.43311,9.63453
103.945,8.43843,9.63553
104.145,8.44403,9.63691
104.345,8.44884,9.63977
104.546,8.45247,9.64345
104.746,8.45475,9.64658
104.946,8.45467,9.64916
105.147,8.45377,9.64536
105.347,8.45259,9.65143
105.547,8.4533,9.65159
105.748,8.45458,9.6522
105.948,8.45376,9.65224
106.148,8.45469,9.65247
106.349,8.45679,9.65362
106.549,8.45939,9.64907
106.749,8.46185,9.64708
106.95,8.46375,9.64543
107.15,8.4632,9.642
107.35,8.46255,9.638
107.55,8.46053,9.63296
107.751,8.45909,9.62797
107.951,8.45496,9.62372
108.151,8.45312,9.61592
108.352,8.45281,9.60818
108.552,8.45277,9.60185
108.752,8.45313,9.59064
108.953,8.4532,9.58338
109.153,8.45207,9.57564
109.353,8.45081,9.56708
109.554,8.44875,9.56172
109.754,8.44566,9.55716
109.954,8.44179,9.55106
110.155,8.43983,9.54527
110.355,8.43742,9.5399
110.555,8.43682,9.53714
110.755,8.43557,9.53538
110.956,8.42948,9.53506
