time,OS,RL
43.5156,13.361,13.372
43.716,13.3724,13.3615
43.9165,13.3804,13.3454
44.117,13.3921,13.3276
44.3174,13.3965,13.3087
44.5179,13.3968,13.287
44.7183,13.3923,13.2642
44.9188,13.3845,13.2431
45.1192,13.3733,13.2229
45.3197,13.3618,13.2071
45.5201,13.3514,13.1903
45.7206,13.3425,13.1767
45.921,13.3412,13.1682
46.1214,13.3458,13.1612
46.3219,13.3536,13.1569
46.5223,13.361,13.1547
46.7228,13.3714,13.1543
46.9232,13.3831,13.1602
47.1237,13.3938,13.1689
47.3241,13.4065,13.1825
47.5245,13.4175,13.1964
47.7249,13.435,13.2146
47.9254,13.4575,13.2364
48.1258,13.472,13.2597
48.3262,13.4768,13.2827
48.5266,13.4779,13.3018
48.7271,13.4799,13.3221
48.9275,13.4877,13.3411
49.1279,13.494,13.3567
49.3285,13.4948,13.3673
49.5289,13.4937,13.376
49.7294,13.4909,13.3799
49.9298,13.4858,13.3805
50.1303,13.4771,13.3771
50.3307,13.4661,13.3688
50.5311,13.459,13.3599
50.7315,13.455,13.3585
50.9319,13.4496,13.3562
51.1323,13.4416,13.3532
51.3328,13.4292,13.3509
51.5332,13.4151,13.3476
51.7337,13.4007,13.3456
51.9342,13.3869,13.3463
52.1347,13.3766,13.3428
52.3352,13.3682,13.3391
52.5357,13.3626,13.3314
52.7361,13.3624,13.3262
52.9367,13.3634,13.3211
53.1372,13.3637,13.3132
53.3377,13.3665,13.3024
53.5381,13.3715,13.2914
53.7385,13.3825,13.2808
53.9389,13.397,13.2709
54.1394,13.4126,13.2607
54.3399,13.4247,13.2551
54.5404,13.442,13.249
54.7408,13.4579,13.2464
54.9412,13.4703,13.2485
55.1417,13.4761,13.2506
55.3422,13.4774,13.2423
55.5427,13.4836,13.2405
55.7433,13.4896,13.2402
55.9438,13.4928,13.2409
56.1444,13.4924,13.2448
56.3449,13.489,13.2491
56.5454,13.484,13.2542
56.746,13.4772,13.258
56.9466,13.4702,13.2595
57.147,13.4643,13.2592
57.3475,13.4566,13.261
57.548,13.4523,13.2615
57.7484,13.4498,13.2605
57.949,13.4465,13.2604
58.1494,13.4425,13.2609
58.3499,13.4377,13.2629
58.5503,13.4314,13.2666
58.7508,13.4281,13.2717
58.9512,13.4258,13.2781
59.1516,13.4287,13.287
59.3521,13.4333,13.298
59.5526,13.4371,13.3102
59.7531,13.4422,13.3223
59.9535,13.4466,13.3328
60.154,13.4508,13.3416
60.3544,13.4538,13.3508
60.5549,13.4541,13.3584
60.7553,13.4509,13.3634
60.9558,13.4467,13.3676
61.1563,13.4399,13.3756
61.3567,13.4325,13.3801
61.5572,13.4301,13.3818
61.7576,13.4317,13.3793
61.9581,13.4351,13.3764
62.1585,13.4325,13.3731
62.359,13.4313,13.3688
62.5595,13.4329,13.3622
62.76,13.4382,13.3582
62.9604,13.4421,13.3549
63.1609,13.44,13.3516
63.3613,13.4402,13.3457
63.5618,13.4412,13.3421
63.7623,13.4444,13.3369
63.9627,13.449,13.3292
64.1632,13.456,13.3187
64.3638,13.4616,13.3089
64.5643,13.4663,13.2992
64.7647,13.4673,13.2902
64.9652,13.4668,13.2821
65.1657,13.47,13.2746
65.3662,13.4734,13.2681
65.5666,13.4717,13.262
65.767,13.4721,13.2578
65.9675,13.4738,13.2539
66.1679,13.474,13.2517
66.3684,13.4696,13.2512
66.5688,13.4628,13.2545
66.7692,13.4544,13.2613
66.9697,13.4443,13.2701
67.1701,13.4344,13.2808
67.3706,13.4243,13.2954
67.5712,13.4159,13.3099
67.7717,13.4082,13.3261
67.9721,13.4038,13.3431
68.1726,13.4008,13.3596
68.3731,13.402,13.374
68.5736,13.4028,13.3891
68.774,13.4029,13.4008
68.9744,13.4037,13.4095
69.1748,13.4058,13.415
69.3752,13.4055,13.4151
69.5756,13.4082,13.4145
69.7761,13.4133,13.4123
69.9766,13.4191,13.4094
70.177,13.4277,13.4063
70.3775,13.4236,13.4033
70.578,13.4159,13.3975
70.7785,13.4112,13.3929
70.9789,13.4095,13.3909
71.1794,13.4062,13.3888
71.38,13.3998,13.3903
71.5805,13.3913,13.3867
71.781,13.3838,13.38
71.9814,13.3731,13.3745
72.1818,13.367,13.3709
72.3822,13.36,13.3655
72.5827,13.3584,13.3602
72.7832,13.3587,13.3553
72.9837,13.3582,13.3514
73.1842,13.3561,13.3479
73.3846,13.3558,13.3429
73.5851,13.3586,13.34
73.7856,13.357,13.3358
73.986,13.3618,13.3325
74.1865,13.3682,13.3268
74.387,13.3787,13.3204
74.5875,13.3889,13.3134
74.788,13.4011,13.3054
74.9886,13.4147,13.3003
75.1891,13.4279,13.2976
75.3895,13.4375,13.2948
75.5901,13.4443,13.2951
75.7906,13.4445,13.2954
75.9912,13.4461,13.2955
76.1917,13.4477,13.2954
76.3921,13.4427,13.2979
76.5925,13.4331,13.3025
76.793,13.4213,13.31
76.9935,13.4101,13.3201
77.194,13.3999,13.33
77.3945,13.389,13.3406
77.595,13.3791,13.354
77.7954,13.3724,13.3676
77.9958,13.3665,13.3833
78.1963,13.3591,13.398
78.3967,13.3481,13.4105
78.5971,13.3367,13.4196
78.7976,13.3278,13.4229
